issuing_authority,title,publication_date,submission_deadline,contract_duration,estimated_budget,required_skills,project_description
Ministry of Digital Transformation,Cloud Infrastructure Modernization,2026-02-15,2026-03-25,24 months,"€2,500,000 – €3,000,000","AWS;Azure;Terraform;CI/CD;DevOps","Migration of legacy systems to cloud infrastructure with automation and continuous integration pipelines."
National Cybersecurity Agency,SOC Implementation Project,2026-01-10,2026-02-28,18 months,"€1,200,000 – €1,500,000","SIEM;ISO 27001;Incident Response;Cybersecurity;Splunk","Design and deployment of a Security Operations Center including monitoring and compliance."
City Smart Authority,Smart City Analytics Platform,2026-03-01,2026-04-10,12 months,"€800,000 – €1,000,000","Big Data;Python;Spark;Azure;Power BI","Implementation of big data analytics platform for IoT and urban data processing."
Ministry of Health,e-Health System Upgrade,2026-02-05,2026-03-20,30 months,"€3,000,000 – €3,500,000","Microservices;API;Docker;Kubernetes;GDPR","Upgrade of national e-health platform with secure and scalable architecture."
Public Transport Authority,SAP ERP Implementation,2026-01-20,2026-03-05,20 months,"€2,000,000 – €2,800,000","SAP S/4HANA;ABAP;Data Migration;Project Management","Implementation of ERP system with migration from legacy software."
Ministry of Finance,AI Fraud Detection System,2026-02-12,2026-03-30,24 months,"€1,500,000 – €2,000,000","Machine Learning;Python;TensorFlow;Data Science;SQL","Development of AI-based fraud detection platform."
National Education Authority,University Cloud Migration,2026-03-05,2026-04-15,18 months,"€900,000 – €1,200,000","Azure;Identity Management;Virtualization;Backup Solutions","Migration of university systems to secure cloud infrastructure."
Energy Regulatory Commission,Blockchain Energy Platform,2026-01-30,2026-03-12,22 months,"€1,800,000 – €2,200,000","Blockchain;Smart Contracts;Ethereum;Cybersecurity","Development of blockchain-based energy trading solution."
Central Bank,Core Banking Modernization,2026-03-02,2026-04-20,30 months,"€5,000,000 – €6,500,000","Java;Microservices;DevOps;AWS;Cybersecurity","Digital transformation of core banking system."
Ministry of Interior,National Identity System Upgrade,2026-02-18,2026-03-28,36 months,"€4,000,000 – €5,000,000","Biometrics;Cloud;Database Management;High Availability","Modernization of biometric identity management platform."
Government IT Services,DevOps Automation Project,2026-01-22,2026-03-01,12 months,"€600,000 – €900,000","Jenkins;Kubernetes;Docker;CI/CD","Implementation of DevOps pipelines for government services."
Public Utilities Authority,Data Warehouse Modernization,2026-02-14,2026-03-29,18 months,"€1,100,000 – €1,400,000","ETL;SQL;Azure Synapse;Data Modeling","Modernization of enterprise data warehouse infrastructure."
Transport Ministry,Mobile Ticketing Application,2026-03-10,2026-04-25,14 months,"€700,000 – €1,000,000","Flutter;API;Cloud;Mobile Development","Development of mobile ticketing application for public transport."
National Security Office,Zero Trust Security Architecture,2026-02-08,2026-03-22,20 months,"€2,000,000 – €2,600,000","Zero Trust;IAM;Cybersecurity;Network Security","Implementation of zero trust architecture across government networks."
Digital Innovation Agency,AI Chatbot for Public Services,2026-01-15,2026-02-27,10 months,"€400,000 – €600,000","NLP;Python;Chatbot;Machine Learning","Development of AI-powered chatbot for citizen services."
Ministry of Energy,Smart Grid Monitoring System,2026-02-28,2026-04-05,24 months,"€1,700,000 – €2,200,000","IoT;Cloud;Data Analytics;Python","Deployment of smart grid monitoring and analytics solution."
Defense Technology Department,Secure Communication Platform,2026-03-01,2026-04-10,30 months,"€3,500,000 – €4,000,000","Encryption;Cybersecurity;Secure APIs;Cloud","Development of secure communication system."
Municipal IT Department,IT Service Management Platform,2026-02-19,2026-03-30,15 months,"€650,000 – €900,000","ITIL;ServiceNow;ITSM;Cloud","Implementation of IT service management solution."
Public Banking Authority,Cloud Security Enhancement,2026-03-12,2026-04-30,18 months,"€1,000,000 – €1,300,000","Cloud Security;IAM;Encryption;AWS","Enhancement of cloud security posture."
Innovation Fund Agency,Big Data Research Platform,2026-02-03,2026-03-18,24 months,"€1,300,000 – €1,800,000","Hadoop;Spark;Python;Data Science","Development of research-focused big data platform."
National Tax Authority,Digital Tax Filing System,2026-01-28,2026-03-10,20 months,"€2,200,000 – €2,800,000","Java;Spring Boot;API;Cloud","Implementation of digital tax filing platform."
Health Insurance Agency,Claims Processing Automation,2026-02-25,2026-04-05,18 months,"€900,000 – €1,200,000","RPA;Automation;Python;Data Processing","Automation of claims processing using RPA."
Ministry of Justice,Case Management System Upgrade,2026-03-05,2026-04-15,22 months,"€1,500,000 – €2,000,000","Database;Web Development;Security;Cloud","Upgrade of judicial case management system."
Aviation Authority,Airport Cybersecurity Upgrade,2026-02-16,2026-03-30,16 months,"€1,800,000 – €2,400,000","Cybersecurity;Firewall;SIEM;Network Security","Enhancement of airport IT security infrastructure."
National Telecom Agency,5G Infrastructure Monitoring Platform,2026-01-18,2026-02-28,24 months,"€2,700,000 – €3,200,000","5G;Network Monitoring;Cloud;Data Analytics","Deployment of 5G monitoring and analytics platform."
Ministry of Agriculture,Digital Farming Platform,2026-03-08,2026-04-20,14 months,"€750,000 – €1,100,000","IoT;Cloud;Mobile App;Data Analytics","Development of smart farming digital platform."
National Archives Office,Digital Document Management System,2026-02-11,2026-03-25,18 months,"€850,000 – €1,200,000","Document Management;OCR;Cloud;Security","Implementation of digital archiving system."
Urban Planning Authority,GIS Mapping System,2026-03-01,2026-04-12,20 months,"€1,000,000 – €1,500,000","GIS;Python;Data Visualization;Cloud","Deployment of geographic information system platform."
Ministry of Tourism,Online Booking Platform Modernization,2026-02-21,2026-04-01,12 months,"€600,000 – €900,000","React;Node.js;Cloud;API","Modernization of national tourism booking portal."
National Research Council,High Performance Computing Cluster,2026-03-09,2026-04-30,30 months,"€3,000,000 – €4,500,000","HPC;Linux;Cluster Management;Networking","Deployment of high performance computing infrastructure."
Ministère des Technologies de la Communication – Tunisie,National Cloud Infrastructure Deployment,2026-02-10,2026-03-20,24 months,"€2,000,000 – €2,800,000","AWS;Azure;Terraform;DevOps;Kubernetes","Deployment of a national sovereign cloud infrastructure for government services."
STEG – Tunisie,Smart Grid Data Analytics Platform,2026-03-01,2026-04-15,18 months,"€1,200,000 – €1,600,000","IoT;Python;Data Analytics;Azure;Power BI","Implementation of analytics platform for smart electricity grid monitoring."
Banque Centrale de Tunisie,Core Banking System Upgrade,2026-02-15,2026-03-30,30 months,"€4,000,000 – €5,500,000","Java;Spring Boot;Microservices;Oracle;DevOps","Modernization of core banking infrastructure and digital services."
Tunisie Telecom,5G Network Monitoring System,2026-01-25,2026-03-05,20 months,"€3,500,000 – €4,200,000","5G;Network Monitoring;Cloud;Cybersecurity","Deployment of 5G infrastructure monitoring and analytics system."
Caisse Nationale d’Assurance Maladie – Tunisie,e-Health Platform Modernization,2026-02-12,2026-03-25,24 months,"€2,200,000 – €3,000,000","Microservices;API;Docker;Kubernetes;GDPR","Upgrade of national health insurance digital platform."
Ministère de l’Intérieur – Tunisie,Biometric Identity System Enhancement,2026-03-05,2026-04-18,36 months,"€5,000,000 – €6,500,000","Biometrics;Cloud;Database Security;High Availability","Enhancement of national biometric identity management system."
SNCF – France,AI-Based Predictive Maintenance Platform,2026-02-08,2026-03-22,18 months,"€1,800,000 – €2,400,000","Machine Learning;Python;IoT;Data Science","Development of predictive maintenance solution for railway infrastructure."
La Poste – France,Digital Transformation of Logistics Systems,2026-02-20,2026-04-01,24 months,"€2,500,000 – €3,200,000","SAP;Cloud;DevOps;Data Integration","Modernization of logistics IT systems and cloud integration."
EDF – France,Energy Data Management Platform,2026-01-30,2026-03-10,20 months,"€2,000,000 – €2,700,000","Big Data;Spark;Hadoop;Azure;Data Governance","Deployment of enterprise energy data platform."
Ministère de la Santé – France,National Hospital Information System Upgrade,2026-02-18,2026-04-05,30 months,"€3,500,000 – €4,800,000","Java;Microservices;Cybersecurity;Cloud","Upgrade of hospital digital information systems."
Orange France,Cybersecurity SOC Enhancement,2026-01-15,2026-02-28,16 months,"€1,200,000 – €1,700,000","SIEM;ISO 27001;Incident Response;Splunk","Expansion of Security Operations Center capabilities."
BNP Paribas,Cloud Migration of Banking Applications,2026-02-28,2026-04-12,24 months,"€4,500,000 – €6,000,000","AWS;DevOps;Terraform;Kubernetes;Banking IT","Migration of legacy banking applications to secure cloud environment."
Société Générale,AI Fraud Detection System,2026-03-03,2026-04-20,18 months,"€2,200,000 – €2,900,000","Machine Learning;Python;TensorFlow;SQL","Development of AI-powered financial fraud detection platform."
Ministère de l’Éducation – Tunisie,Digital Learning Platform Deployment,2026-02-14,2026-03-28,14 months,"€900,000 – €1,200,000","React;Node.js;Cloud;API;Cybersecurity","Implementation of national digital education platform."
Air France,Kubernetes Infrastructure Optimization,2026-01-22,2026-03-01,12 months,"€750,000 – €1,100,000","Kubernetes;Docker;CI/CD;Cloud Security","Optimization of containerized infrastructure."
STB Bank – Tunisie,Mobile Banking Application Development,2026-02-05,2026-03-18,16 months,"€1,500,000 – €2,000,000","Flutter;API;Cloud;Cybersecurity","Development of secure mobile banking platform."
CNAM – France,Digital Claims Processing Automation,2026-02-09,2026-03-21,18 months,"€1,100,000 – €1,600,000","RPA;Automation;Python;Data Processing","Automation of digital insurance claims management."
Ministère des Finances – Tunisie,AI Tax Fraud Detection System,2026-02-17,2026-03-29,24 months,"€2,000,000 – €2,600,000","Machine Learning;Python;Big Data;SQL","Implementation of AI-based tax fraud detection solution."
RATP – France,Smart Ticketing Cloud System,2026-03-02,2026-04-15,14 months,"€1,000,000 – €1,500,000","Cloud;API;Mobile;DevOps","Modernization of smart ticketing infrastructure."
Banque de France,Blockchain Identity Verification System,2026-02-11,2026-03-26,20 months,"€1,800,000 – €2,300,000","Blockchain;Smart Contracts;Cybersecurity","Development of blockchain-based identity verification platform."
Ministère de la Défense – France,Secure Communication Infrastructure,2026-02-01,2026-03-15,30 months,"€6,000,000 – €8,000,000","Encryption;Secure APIs;Cloud;Network Security","Deployment of secure national communication infrastructure."
Ooredoo Tunisie,Cloud-Based CRM Implementation,2026-01-28,2026-03-05,12 months,"€850,000 – €1,200,000","CRM;Cloud;Data Migration;API","Implementation of cloud-based customer relationship management system."
Ministère de l’Agriculture – Tunisie,IoT Smart Farming Platform,2026-02-24,2026-04-08,18 months,"€950,000 – €1,400,000","IoT;Cloud;Data Analytics;Mobile App","Deployment of smart agriculture monitoring system."
Caisse des Dépôts – France,Enterprise Data Warehouse Modernization,2026-02-19,2026-04-02,20 months,"€2,000,000 – €2,700,000","ETL;SQL;Azure Synapse;Data Modeling","Modernization of enterprise data warehouse systems."
Ministère de la Justice – Tunisie,Judicial Case Management System Upgrade,2026-03-04,2026-04-18,22 months,"€1,600,000 – €2,100,000","Web Development;Database;Security;Cloud","Upgrade of judicial case management IT platform."
TotalEnergies – France,Industrial IoT Monitoring Platform,2026-01-19,2026-02-28,24 months,"€3,200,000 – €4,000,000","IoT;Big Data;Cloud;Cybersecurity","Deployment of industrial IoT monitoring infrastructure."
CNSS – Tunisie,Digital Social Security Portal,2026-02-21,2026-04-05,18 months,"€1,300,000 – €1,900,000","Java;Spring Boot;Cloud;Security","Development of national social security digital portal."
Université de Tunis,High Performance Computing Cluster Deployment,2026-03-07,2026-04-22,30 months,"€2,800,000 – €3,500,000","HPC;Linux;Cluster Management;Networking","Deployment of HPC infrastructure for research."
Université Paris-Saclay,Research Data Management Platform,2026-02-16,2026-03-30,16 months,"€900,000 – €1,300,000","Data Management;Cloud;Python;Security","Implementation of research data management system."
Ministère du Tourisme – Tunisie,National Online Booking Platform Modernization,2026-02-27,2026-04-10,12 months,"€700,000 – €1,000,000","React;Node.js;Cloud;API","Modernization of tourism digital booking portal."
Ministère de l’Enseignement Supérieur – Tunisie,National University ERP Integration,2026-03-10,2026-04-25,24 months,"€1,800,000 – €2,400,000","ERP;SAP;Oracle;API Integration;Cloud","Integration of ERP systems across public universities with centralized cloud hosting."
